序号,时间,半长轴,星下点经度(°),异常值,控制状态,日期
1,2020/7/1 13:21,42163.0001,-173.9968,0,0,2020/7/1
2,2020/7/1 19:19,42162.976,-174.0416,0,0,2020/7/1
4,2020/7/2 19:26,42162.8779,-174.0119,0,0,2020/7/2
5,2020/7/3 4:03,42162.8429,-173.9483,0,0,2020/7/3
8,2020/7/4 13:25,42162.7072,-173.9308,0,0,2020/7/4
11,2020/7/5 13:10,42162.6108,-173.9,0,2,2020/7/5
14,2020/7/6 18:11,42162.4934,-173.9413,0,2,2020/7/6
15,2020/7/7 14:34,42162.4098,-173.8866,0,2,2020/7/7
18,2020/7/8 18:26,42167.0387,-173.9323,0,2,2020/7/8
19,2020/7/9 11:00,42166.884,-173.8761,0,2,2020/7/9
23,2020/7/10 18:40,42166.7572,-173.9771,0,2,2020/7/10
24,2020/7/11 13:06,42166.6771,-173.965,0,0,2020/7/11
26,2020/7/12 1:41,42166.6255,-173.8704,0,0,2020/7/12
27,2020/7/13 3:31,42166.5181,-173.9717,0,0,2020/7/13
31,2020/7/14 14:15,42166.3743,-174.0753,0,0,2020/7/14
34,2020/7/15 14:44,42166.273,-174.1113,0,0,2020/7/15
35,2020/7/16 14:30,42166.1749,-174.1268,0,0,2020/7/16
38,2020/7/17 17:47,42166.0625,-174.1509,0,0,2020/7/17
39,2020/7/18 13:52,42165.9787,-174.1474,0,0,2020/7/18
41,2020/7/19 13:54,42165.8794,-174.1662,0,0,2020/7/19
44,2020/7/20 11:40,42165.7892,-174.1207,0,0,2020/7/20
47,2020/7/21 16:32,42165.6697,-174.2301,0,0,2020/7/21
49,2020/7/22 14:02,42165.5803,-174.2129,0,0,2020/7/22
52,2020/7/23 16:46,42165.4696,-174.2468,0,0,2020/7/23
53,2020/7/24 13:38,42165.3826,-174.2235,0,0,2020/7/24
56,2020/7/25 17:00,42165.2691,-174.2554,0,0,2020/7/25
57,2020/7/26 11:58,42165.1903,-174.1918,0,0,2020/7/26
59,2020/7/27 13:48,42165.0835,-174.2513,0,0,2020/7/27
61,2020/7/28 13:07,42164.9874,-174.2368,0,0,2020/7/28
63,2020/7/29 6:47,42164.9153,-174.2174,0,0,2020/7/29
66,2020/7/30 13:08,42164.7906,-174.2445,0,0,2020/7/30
69,2020/7/31 13:08,42164.6927,-174.2465,0,0,2020/7/31
72,2020/8/1 6:46,42164.6212,-174.2158,0,0,2020/8/1
75,2020/8/2 17:59,42164.4783,-174.2193,0,0,2020/8/2
76,2020/8/3 13:20,42164.3992,-174.251,0,0,2020/8/3
80,2020/8/4 16:28,42164.289,-174.2598,0,0,2020/8/4
81,2020/8/5 14:47,42164.1977,-174.2693,0,0,2020/8/5
83,2020/8/6 12:07,42164.1096,-174.205,0,0,2020/8/6
86,2020/8/7 12:44,42164.0084,-174.2171,0,0,2020/8/7
89,2020/8/8 14:53,42163.9008,-174.2467,0,0,2020/8/8
91,2020/8/9 14:55,42163.8016,-174.2365,0,0,2020/8/9
92,2020/8/10 13:18,42163.7091,-174.2062,0,0,2020/8/10
95,2020/8/11 19:02,42163.5868,-174.0769,0,0,2020/8/11
