序号,时间,半长轴,星下点经度(°),异常值,控制状态,日期
4,2024-03-05 13:35:42,42163.0021,119.5596,0,0.0,2024-03-05
6,2024-03-06 02:30:34,42163.1801,119.4238,1,0.0,2024-03-06
7,2024-03-07 02:26:35,42163.3463,119.4394,0,0.0,2024-03-07
8,2024-03-08 02:22:35,42163.4994,119.455,0,0.0,2024-03-08
9,2024-03-09 02:18:32,42163.6362,119.47,0,0.0,2024-03-09
12,2024-03-10 02:14:28,42163.796,119.4812,1,0.0,2024-03-10
13,2024-03-11 02:10:24,42163.9543,119.4911,0,0.0,2024-03-11
15,2024-03-12 02:06:20,42164.1074,119.4993,0,0.0,2024-03-12
18,2024-03-13 02:02:18,42164.2652,119.5054,1,0.0,2024-03-13
21,2024-03-14 01:58:19,42164.3973,119.5124,1,0.0,2024-03-14
22,2024-03-15 01:54:23,42164.5573,119.514,0,0.0,2024-03-15
26,2024-03-16 01:50:29,42164.7163,119.5142,1,0.0,2024-03-16
27,2024-03-17 01:46:37,42164.8856,119.5102,0,0.0,2024-03-17
30,2024-03-18 01:42:45,42165.0303,119.5077,0,0.0,2024-03-18
33,2024-03-19 01:38:54,42165.2083,119.4988,1,3.0,2024-03-19
36,2024-03-20 01:35:00,42165.3484,119.4925,1,3.0,2024-03-20
37,2024-03-21 01:31:06,42165.4855,119.4845,1,3.0,2024-03-21
41,2024-03-22 01:27:11,42163.0021,119.4777,0,3.0,2024-03-22
43,2024-03-23 17:29:48,42163.958,119.5409,0,3.0,2024-03-23
45,2024-03-24 22:18:26,42164.0724,119.7694,0,3.0,2024-03-24
50,2024-03-25 23:09:14,42164.2033,119.7505,1,0.0,2024-03-25
52,2024-03-26 17:59:21,42164.457,119.7505,0,0.0,2024-03-26
54,2024-03-27 19:24:59,42164.6344,120.6943,0,0.0,2024-03-27
56,2024-03-28 15:22:18,42164.7634,120.5446,0,0.0,2024-03-28
60,2024-03-29 21:13:50,42165.0003,120.7721,0,0.0,2024-03-29
61,2024-03-30 15:31:41,42165.1472,120.5372,0,0.0,2024-03-30
62,2024-03-31 21:17:31,42165.1864,119.7841,0,0.0,2024-03-31
64,2024-04-01 19:09:47,42165.3476,119.7008,0,0.0,2024-04-01
67,2024-04-02 18:05:14,42165.5323,119.6292,0,0.0,2024-04-02
68,2024-04-03 15:19:34,42165.7017,119.5289,0,0.0,2024-04-03
72,2024-04-04 18:27:19,42165.9105,119.6367,0,0.0,2024-04-04
74,2024-04-05 14:28:50,42166.0496,119.5145,0,0.0,2024-04-05
76,2024-04-06 15:23:01,42166.2133,119.4825,0,0.0,2024-04-06
79,2024-04-07 15:08:11,42166.3527,119.4634,0,3.0,2024-04-07
83,2024-04-08 18:01:04,42166.4833,119.5517,0,3.0,2024-04-08
85,2024-04-09 14:22:44,42166.5873,119.4296,0,3.0,2024-04-09
90,2024-04-10 21:26:31,42163.6107,119.6736,0,3.0,2024-04-10
93,2024-04-11 20:36:12,42163.7026,119.6929,0,3.0,2024-04-11
95,2024-04-12 15:29:02,42163.7881,119.4682,0,3.0,2024-04-12
98,2024-04-13 18:27:46,42163.9081,119.6397,0,0.0,2024-04-13
102,2024-04-14 20:57:12,42164.0328,119.7242,0,0.0,2024-04-14
