序号,时间,半长轴,星下点经度(°),异常值,控制状态,日期,卫星,小时,星期,月份,时间戳,季节_春季,半长轴_经度,控制状态_encoded,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,预测控制状态
50,2024-03-25 23:09:14,-3049.8138453276456,-0.5005534341237532,431.22730136360946,0.0,2024-03-25,59020,-1.9811822551177984,-2.2703287385996673,-2.176465703760334,-45.721923348032114,True,-0.12843182478075213,0,0.4369528818313563,4.664800760014787,1.6902610606031598,12.074055204023136,16.331336044990273,0.01339275813228884,-0.8744324479479777,0.9175772890904136,1612.7001178141227,-199.73132022753236,-408.8880116871059,327.9151766137957,418.8072146747871,210.1004494326237,-1497.106733032442,-2028.0886953181862,0.0
52,2024-03-26 17:59:21,-3049.8125181342816,-0.5005534341237532,-1.0505329327717783,0.0,2024-03-26,59020,-2.144300982786976,-2.0200806000474882,-2.176465703760334,-45.721923347980606,True,-0.11248403377381463,0,0.09897411395496836,1.4769343475484593,1.2004931725997214,-0.9439767594118745,0.5136045393743004,0.39958817101351757,0.1229208908033782,-0.5579389171220609,1607.4366296011347,-252.5351008899336,-422.88378721881554,48.14864136550156,94.96161719890955,221.44660858995078,-1487.6932925299934,-2050.2191444710706,0.0
54,2024-03-27 19:24:59,-3049.8115900928824,-0.5004281552146229,-1.0505329327717783,0.0,2024-03-27,59020,-2.089928073563917,-1.7698324614953092,-2.176465703760334,-45.72192334791108,True,-0.10260033494647235,0,0.12711730908479396,1.714216672354351,1.1519950423599832,-0.5914049224572129,0.1580865049244933,0.4247003575409164,-0.04690393464641483,-0.41735867063963794,1607.4475543833946,-252.49502742264144,-422.88793808591964,48.333207957273395,94.7929074858067,221.44327126690672,-1487.7224057378369,-2050.1956895242815,0.0
56,2024-03-28 15:22:18,-3049.810915248798,-0.5004480262176922,-1.0505329327717783,0.0,2024-03-28,59020,-2.1986738920100355,-1.51958432294313,-2.176465703760334,-45.72192334785652,True,-0.0942048326873806,0,0.06884661489703436,1.2808337284913986,1.2778792394009162,-0.16733679345719593,-0.11704781798160147,0.3108313148298192,0.31429668742352723,-0.6990820162354767,1607.4432677757038,-252.56414033710365,-422.86403314472244,48.52949909628269,94.63742416913799,221.41702487994013,-1487.6629697099875,-2050.2428861420653,0.0
60,2024-03-29 21:13:50,-3049.809675942105,-0.5004178281335355,-1.0505329327717783,0.0,2024-03-29,59020,-2.035555164340858,-1.2693361843909508,-2.176465703760334,-45.72192334777487,True,-0.07939257501952147,0,0.15469663759809132,1.954489375013408,1.1190978719604536,0.13804872450083072,-0.5259184262524456,0.42877083129980215,-0.21759504428165896,-0.26798871565620874,1607.4675164535379,-252.45181791745523,-422.88610343440314,48.7062499822126,94.45980179505078,221.4289282764314,-1487.750072156751,-2050.170482707181,0.0
61,2024-03-30 15:31:41,-3049.808907456866,-0.5004490084850449,-1.0505329327717783,0.0,2024-03-30,59020,-2.1986738920100355,-1.0190880458387717,-2.176465703760334,-45.72192334772484,True,-0.0698180981042292,0,0.06813600358958442,1.2995905611009144,1.302782492659335,0.5858078737757867,-0.7744504465675808,0.26831099236305844,0.32423079556233986,-0.6892622899366558,1607.4594672952826,-252.55747289455746,-422.85253292017023,48.906443985737646,94.30868042764624,221.39501992130738,-1487.6605464284112,-2050.2404071695582,0.0
62,2024-03-31 21:17:31,-3049.808702387966,-0.5005489740990162,-1.0505329327717783,0.0,2024-03-31,59020,-2.035555164340858,-0.7688399072865925,-2.176465703760334,-45.721923347643454,True,-0.06666302837798807,0,0.15033664274466,1.9662809481704695,1.1434108061757464,0.8917863808701234,-1.1823343485953421,0.38771714437247756,-0.2247108725350363,-0.26873495176035844,1607.4745224219257,-252.44403350488707,-422.8767975141067,49.08322455766401,94.13137480948866,221.40708210126758,-1487.751461268813,-2050.1736368396264,0.0
64,2024-04-01 19:09:47,-3049.8078590944287,-0.5005600312436765,-1.0505329327717783,0.0,2024-04-01,59020,-2.089928073563917,-2.2703287385996673,-2.0949516654869216,-45.72192334758365,True,-0.05646295929478875,0,0.13847894431380176,1.606508043562852,0.9887564046870597,-1.32203720794682,0.8173368612435472,0.6722070478455122,0.02891296034504321,-0.30010275807245435,1607.4859926437937,-252.53289735101617,-422.9361793766581,47.96283492717347,95.12150810373254,221.52156470463504,-1487.69303047424,-2050.152129364679,0.0
67,2024-04-02 18:05:14,-3049.8068928641787,-0.500569535344009,-1.0505329327717783,0.0,2024-04-02,59020,-2.1171145281754464,-2.0200806000474882,-2.0949516654869216,-45.72192334752096,True,-0.04481760703091368,0,0.12360915425165195,1.504971093394525,1.0298175770656315,-0.9335902529396809,0.5020075534373103,0.627738973303408,0.12312952851644185,-0.3661319964935553,1607.491306579861,-252.5477184831432,-422.92581125485555,48.1532611415089,94.95934739299334,221.50674518985554,-1487.6771323216537,-2050.162795749842,0.0
68,2024-04-03 15:19:34,-3049.806006673575,-0.5005828490488042,-1.0505329327717783,0.0,2024-04-03,59020,-2.1986738920100355,-1.7698324614953092,-2.0949516654869216,-45.72192334746289,True,-0.03414057882730983,0,0.08000655264555295,1.182372317133528,1.1277866891563009,-0.5214311064540413,0.2133906025278953,0.5368796732593963,0.3966018418232977,-0.5744816936602235,1607.4911596730844,-252.5988547873093,-422.906188953643,48.34759444042749,94.80160572015933,221.4842909681525,-1487.6318194287442,-2050.197227573448,0.0
